Date d'Affectation,Poste,Matricule,Arrêt,Qualité,Horaire,Type,Remplacant,Jour,Placement,Jr_pl
,233,920,,,Jour,,1795,5,,
,69,921,,,Jour,,219,6,,
,299,922,,,Jour,,1940,6,,
,50,923,,,Jour,,1669,7,,
,464,924,,,Jour,,22,5,,
,369,925,,,Jour,,1772,7,,
,533,926,,,Jour,,761,4,,
,757,927,,,Jour,,1678,7,,
,829,928,,,Jour,,1939,6,,
,424,929,,,Jour,,570,4,,
03/08/2014,785,930,06/08/2014,,Jour,,463,6,,
,334,930,02/08/2014,,Jour,,8,6,,
01/08/2014,916,930,,,Jour,,188,5,,
,587,931,,,Jour,,1784,7,,
,513,932,,,Jour,,166,4,,
,443,933,,,Jour,,1501,1,,
,184,934,,,Jour,,66,1,,
,446,935,,,Jour,,935,7,,
,736,936,,,Jour,,1001,6,,
,396,937,,,Jour,,1592,5,,
,491,938,,,Jour,,910,4,,
,327,939,,,Jour,,454,7,,
,327,940,,,Jour,,911,5,,
,645,942,,,Jour,,1407,6,,
,624,943,,,Jour,,1321,7,,
,177,944,###############################################################################################################################################################################################################################################################,,Jour,,292,6,,
,160,945,,,Jour,,473,7,,
,314,946,,,Jour,,1384,5,,
,790,947,,,Jour,,1625,5,,
,792,948,,,Jour,,1355,6,,
,53,949,,,Jour,,1514,7,,
,231,950,,,Jour,,1873,7,,
,831,951,,,Jour,,220,1,,
,294,952,,,Jour,,293,3,,
,30,953,,,Jour,,1483,3,,
,714,954,,,Jour,,765,1,,
,487,955,,,Jour,,18,5,,
,137,956,,,Jour,,145,7,,
,831,957,,,Jour,,220,7,,
,272,958,,,Jour,,188,1,,
,685,959,,,Jour,,91,5,,
,844,960,,,Jour,,1075,7,,
,93,961,,,Jour,,6,5,,
01/08/2014,893,962,,,Jour,,188,2,,
,584,962,12/08/2014,,Jour,,91,3,,
,622,963,09/08/2014,,Jour,,1674,5,,
,386,964,,,Jour,,7,6,,
,379,965,12/08/2014,,Jour,,1177,3,,
,7,967,,,Jour,,458,4,,
,259,969,,,Jour,,1958,6,,
,151,972,,,Jour,,1436,6,,
,161,973,,,Jour,,1378,7,,
,811,974,,,Jour,,471,7,,
,793,975,,,Jour,,737,7,,
,455,976,31/07/2014,,Jour,,1570,6,,
18/08/2014,455,976,,,Jour,,1941,6,,
,522,977,,,Jour,,1430,7,,
,745,978,,,Jour,,190,4,,
,597,979,,,Jour,,896,7,,
,248,980,,,Jour,,912,3,,
,364,981,,,Jour,,292,7,,
,675,982,,,Jour,,765,5,,
,180,983,,,Jour,,1069,6,,
,323,984,,,Jour,,1510,6,,
,773,985,,,Jour,,904,2,,
,115,986,,,Jour,,1744,2,,
03/08/2014,334,987,,,Jour,,1937,6,,
,785,987,02/08/2014,,Jour,,463,6,,
,316,988,,,Jour,,289,6,,
,217,989,,,Jour,,1792,6,,
,148,991,,,Jour,,1680,5,,
,193,992,,,Jour,,1439,7,,
,159,993,,,Jour,,1688,7,,
,344,994,,,Jour,,1373,3,,
,39,995,,,Jour,,1140,4,,
,871,996,,,Jour,,1687,6,,
,220,997,,,Jour,,1483,7,,
,613,998,,,Jour,,137,5,,
,399,999,,,Jour,,95,6,,
,339,1000,,,Jour,,59,4,,
,368,1003,04/08/2014,,Jour,,88,5,,
25/08/2014,368,1003,,,Jour,,88,5,,
,760,1004,02/08/2014,,Jour,,1812,6,,
,607,1005,,,Jour,,14,5,,
,788,1006,06/08/2014,,Jour,,1434,1,,
,118,1007,,,Jour,,49,1,,
,97,1008,,,Jour,,899,1,,
,103,1009,,,Jour,,1475,6,,
,797,1010,,,Jour,,523,6,,
,33,1011,,,Jour,,970,7,,
,805,1012,,,Jour,,1775,6,,
,516,1013,,,Jour,,118,6,,
,213,1015,10/08/2014,,Jour,,39,5,,
,844,1016,,,Jour,,1382,4,,
,414,1017,31/07/2014,,Jour,,1787,7,,
,397,1018,,,Jour,,907,3,,
,770,1019,,,Jour,,129,6,,
,417,1020,15/08/2014,,Jour,,1177,1,,
,844,1021,,,Jour,,1526,7,,
,114,1022,,,Jour,,1634,7,,
,134,1023,,,Jour,,29,7,,
,347,1024,21/08/2014,,Jour,,88,7,,
,651,1024,,,Jour,,,,,
,28,1025,16/08/2014,,Jour,,1400,6,,
,28,1025,,,Jour,,1498,6,,
,320,1026,,,Jour,,1322,5,,
,39,1027,,,Jour,,1140,3,,
,425,1028,,,Jour,,1468,7,,
01/08/2014,353,1029,,,Jour,,,,,
,194,1029,31/07/2014,,Jour,,1436,7,,
,444,1031,,,Jour,,2029,7,,
,278,1032,,,Jour,,1710,5,,
,862,1033,,,Jour,,605,6,,
,183,1034,,,Jour,,1677,6,,
,810,1035,,,Jour,,1958,7,,
,741,1036,,,Jour,,1377,7,,
,660,1037,,,Jour,,1635,5,,
,468,1039,,,Jour,,527,7,,
,42,1040,,,Jour,,55,6,,
,842,1041,,,Jour,,1813,7,,
,646,1042,,,Jour,,374,3,,
,728,1043,,,Jour,,1611,6,,
04/08/2014,59,1045,,,Jour,,293,2,,
,59,1045,03/08/2014,,Jour,,1326,2,,
,565,1046,21/08/2014,,Jour,,259,7,,
,393,1047,,,Jour,,571,6,,
,849,1048,,,Jour,,1606,6,,
,860,1049,,,Jour,,1725,6,,
,423,1050,,,Jour,,600,6,,
,227,1052,,,Jour,,1581,7,,
,203,1053,,,Jour,,1543,5,,
,185,1054,,,Jour,,1806,6,,
,342,1055,,,Jour,,605,6,,
,538,1056,,,Jour,,159,6,,
,512,1057,,,Jour,,1864,7,,
,25,1058,,,Jour,,152,3,,
,755,1059,,,Jour,,1672,1,,
,743,1060,06/08/2014,,Jour,,1763,6,,
,111,1061,,,Jour,,1861,5,,
,517,1062,,,Jour,,117,6,,
,691,1063,,,Jour,,94,7,,
,77,1064,,,Jour,,1413,4,,
,843,1065,,,Jour,,1382,6,,
,408,1066,,,Jour,,1723,1,,
,205,1067,,,Jour,,458,7,,
,577,1068,,,Jour,,1702,5,,
,492,1070,,,Jour,,1868,7,,
,801,1071,31/07/2014,,Jour,,422,7,,
,449,1072,,,Jour,,1444,7,,
,710,1073,,,Jour,,374,1,,
,557,1074,,,Jour,,1444,7,,
23/08/2014,713,1076,,,Jour,,1785,6,,
,878,1076,22/08/2014,,Jour,,908,7,,
,654,1077,15/08/2014,,Jour,,45,6,,
,654,1077,15/08/2014,,Jour,,45,6,,
04/08/2014,468,1078,,,Jour,,,7,,
,667,1078,,,Jour,,1463,6,,
,625,1079,,,Jour,,425,7,,
,479,1080,,,Jour,,292,7,,
,74,1081,,,Jour,,1501,6,,
,800,1082,,,Jour,,1617,5,,
,147,1083,,,Jour,,900,7,,
,484,1084,,,Jour,,1710,6,,
,478,1085,,,Jour,,2017,7,,
,766,1086,,,Jour,,526,7,,
,6,1087,,,Jour,,283,2,,
,219,1088,,,Jour,,1593,7,,
,843,1089,,,Jour,,423,3,,
,341,1090,,,Jour,,1524,7,,
,728,1091,20/08/2014,,Jour,,118,7,,
,653,1092,,,Jour,,1547,6,,
,99,1093,,,Jour,,1253,1,,
,561,1094,,,Jour,,1429,7,,
,126,1095,,,Jour,,1672,6,,
,261,1096,,,Jour,,1455,7,,
,214,1097,,,Jour,,1321,6,,
,421,1098,,,Jour,,171,1,,
,94,1099,01/08/2014,,Jour,,55,7,,
,231,1100,,,Jour,,125,6,,
,650,1101,,,Jour,,1838,7,,
,13,1102,,,Jour,,906,3,,
,553,1103,,,Jour,,1499,6,,
,553,1104,,,Jour,,1499,5,,
,580,1105,,,Jour,,108,5,,
,627,1106,,,Jour,,941,7,,
,111,1107,,,Jour,,895,7,,
,526,1109,,,Jour,,761,3,,
,204,1110,,,Jour,,1446,5,,
,556,1111,,,Jour,,98,6,,
,486,1112,04/08/2014,,Jour,,1719,7,,
07/08/2014,788,1112,,,Jour,,1014,1,,
,85,1113,,,Jour,,1681,7,,
04/08/2014,735,1114,13/08/2014,,Jour,,1524,5,,
,570,1114,04/08/2014,,Jour,,804,7,,
,619,1115,28/07/2014,,Jour,,199,6,,
,105,1116,,,Jour,,1713,7,,
,520,1117,,,Jour,,170,7,,
,554,1118,,,Jour,,1655,6,,
,367,1119,,,Jour,,41,5,,
,726,1120,,,Jour,,1818,7,,
,564,1121,,,Jour,,804,6,,
,37,1122,31/07/2014,,Jour,,1675,6,,
01/08/2014,879,1122,,,Jour,,1936,6,,
,723,1123,,,Jour,,284,5,,
,690,1124,,,Jour,,1481,6,,
,665,1125,,,Jour,,1682,7,,
,62,1126,,,Jour,,185,6,,
,844,1127,,,Jour,,1382,3,,
,521,1128,,,Jour,,321,6,,
,205,1130,,,Jour,,458,5,,
,589,1131,,,Jour,,1932,6,,
,200,1132,,,Jour,,2017,1,,
,602,1133,,,Jour,,1726,6,,
,437,1134,,,Jour,,1716,6,,
,372,1135,,,Jour,,1473,2,,
,830,1137,,,Jour,,771,7,,
,835,1138,,,Jour,,187,5,,
,612,1139,,,Jour,,1672,7,,
,422,1141,,,Jour,,177,4,,
,468,1142,,,Jour,,1349,7,,
04/08/2014,890,1143,,,Jour,,1860,4,,
,490,1143,,,Jour,,1860,4,,
,904,1143,06/08/2014,,Jour,,,,,
,469,1146,,,Jour,,122,7,,
,778,1149,,,Jour,,1244,5,,
,130,1150,,,Jour,,1931,6,,
,687,1151,,,Jour,,1514,6,,
,165,1152,,,Jour,,1552,6,,
,167,1153,,,Jour,,1460,7,,
,273,1154,,,Jour,,1680,5,,
,372,1155,12/08/2014,,Jour,,1473,1,,
,524,1156,,,Jour,,170,6,,
,831,1157,,,Jour,,220,3,,
,523,1158,,,Jour,,970,6,,
,733,1159,,,Jour,,166,5,,
,566,1160,14/08/2014,,Jour,,1797,6,,
15/08/2014,199,1160,,,Jour,,1546,7,,
,86,1161,,,Jour,,1557,1,,
,729,1162,,,Jour,,822,7,,
,670,1164,18/08/2014,,Jour,,524,7,,
22/08/2014,789,1165,,,Jour,,1426,6,,
,820,1165,21/08/2014,,Jour,,720,7,,
,41,1166,,,Jour,,1525,1,,
,41,1167,,,Jour,,1682,6,,
,637,1168,,,Jour,,180,1,,
,637,1169,,,Jour,,146,2,,
,287,1170,,,Jour,,1674,7,,
,623,1171,,,Jour,,319,6,,
,320,1172,,,Jour,,217,7,,
,295,1173,,,Jour,,569,7,,
,861,1174,,,Jour,,1725,2,,
,320,1175,,,Jour,,1322,6,,
,545,1176,,,Jour,,255,6,,
,5,1178,,,Jour,,199,7,,
,73,1179,,,Jour,,1680,4,,
,694,1180,31/07/2014,,Jour,,120,7,,
,652,1181,,,Jour,,30,5,,
,802,1182,,,Jour,,1587,7,,
,224,1183,,,Jour,,1407,5,,
,96,1184,15/08/2014,,Jour,,147,5,,
,520,1186,,,Jour,,170,5,,
,338,1187,,,Jour,,1407,7,,
,300,1188,,,Jour,,1051,7,,
,68,1189,,,Jour,,23,4,,
03/08/2014,324,1190,,,Jour,,1227,3,,
,544,1190,31/07/2014,,Jour,,149,4,,
,560,1191,,,Jour,,1680,6,,
,171,1192,,,Jour,,1816,7,,
,290,1194,,,Jour,,910,7,,
,276,1195,,,Jour,,1464,5,,
,379,1196,,,Jour,,1177,5,,
,156,1197,,,Jour,,136,3,,
,45,1198,,,Jour,,1806,5,,
,752,1199,,,Jour,,57,5,,
,764,1202,,,Jour,,458,6,,
,863,1204,,,Jour,,1509,7,,
,345,1205,,,Jour,,282,7,,
,676,1206,,,Jour,,911,5,,
,828,1207,,,Jour,,1384,6,,
,507,1208,,,Jour,,1511,7,,
,279,1210,,,Jour,,737,1,,
,823,1212,17/08/2014,,Jour,,1813,6,,
,579,1213,,,Jour,,966,5,,
,440,1214,,,Jour,,1534,5,,
,795,1215,,,Jour,,5,6,,
,468,1216,31/07/2014,,Jour,,913,7,,
,411,1217,,,Jour,,1513,7,,
,747,1218,,,Jour,,1630,5,,
,832,1219,,,Jour,,1945,6,,
,344,1220,,,Jour,,1373,7,,
,742,1221,,,Jour,,565,7,,
,262,1222,,,Jour,,1410,7,,
,698,1223,,,Jour,,1464,6,,
,777,1224,,,Jour,,293,4,,
,734,1225,,,Jour,,1511,5,,
,412,1226,,,Jour,,1621,7,,
,826,1228,,,Jour,,1570,1,,
,683,1229,,,Jour,,1069,7,,
,683,1230,,,Jour,,1069,5,,
,683,1231,,,Jour,,1069,4,,
,691,1232,,,Jour,,889,7,,
,774,1235,21/08/2014,,Jour,,1440,7,,
,700,1236,,,Jour,,94,7,,
,644,1237,,,Jour,,1766,3,,
07/08/2014,702,1238,,,Jour,,1321,5,,
,702,1238,06/08/2014,,Jour,,114,5,,
,367,1240,,,Jour,,41,2,,
,707,1242,,,Jour,,1481,5,,
,709,1245,,,Jour,,255,1,,
,64,1247,03/08/2014,,Jour,,71,7,,
23/08/2014,154,1248,,,Jour,,1307,7,,
,713,1248,22/08/2014,,Jour,,1785,6,,
,816,1249,,,Jour,,1525,7,,
,326,1250,22/08/2014,,Jour,,1772,6,,
,580,1251,04/08/2014,,Jour,,1710,7,,
18/08/2014,661,1251,,,Jour,,1446,4,,
,75,1252,,,Jour,,1407,4,,
,718,1254,,,Jour,,1774,7,,
,731,1255,,,Jour,,1768,7,,
,470,1256,,,Jour,,1723,6,,
,586,1257,,,Jour,,1776,6,,
,468,1258,,,Jour,,899,7,,
,225,1259,22/08/2014,,Jour,,1772,1,,
,341,1260,,,Jour,,1524,2,,
,599,1261,,,Jour,,1556,7,,
,136,1262,,,Jour,,152,5,,
,131,1263,15/08/2014,,Jour,,4,6,,
,128,1264,,,Jour,,1680,4,,
,529,1265,,,Jour,,1335,5,,
,722,1266,,,Jour,,1768,6,,
,693,1267,,,Jour,,171,7,,
12/08/2014,177,1268,,,Jour,,292,7,,
,732,1268,11/08/2014,,Jour,,1534,7,,
,772,1269,,,Jour,,1783,6,,
,703,1270,,,Jour,,1140,5,,
,191,1271,,,Jour,,1201,6,,
,269,1272,,,Jour,,426,7,,
,320,1273,,,Jour,,1322,4,,
,559,1274,04/08/2014,,Jour,,278,6,,
,812,1275,,,Jour,,112,7,,
,497,1276,,,Jour,,1401,6,,
,541,1277,,,Jour,,209,7,,
,281,1278,,,Jour,,1670,7,,
,658,1281,,,Jour,,892,1,,
,15,1284,,,Jour,,376,6,,
,761,1285,,,Jour,,1691,5,,
,715,1286,,,Jour,,892,6,,
,744,1287,,,Jour,,1200,4,,
,441,1288,,,Jour,,890,6,,
,88,1289,,,Jour,,904,3,,
,225,1290,22/08/2014,,Jour,,1772,4,,
22/08/2014,390,1290,,,Jour,,55,2,,
,80,1291,,,Jour,,82,7,,
,681,1292,,,Jour,,1340,7,,
,725,1293,,,Jour,,1689,6,,
,843,1294,,,Jour,,375,2,,
,662,1295,,,Jour,,1392,7,,
,590,1297,,,Jour,,89,6,,
,804,1298,,,Jour,,1668,7,,
,708,1299,,,Jour,,1879,1,,
,327,1300,,,Jour,,454,3,,
,350,1301,,,Jour,,572,2,,
,413,1302,14/08/2014,,Jour,,1742,6,,
,503,1304,,,Jour,,1477,5,,
,504,1305,,,Jour,,168,1,,
,434,1306,,,Jour,,152,7,,
,209,1308,,,Jour,,422,5,,
,753,1310,,,Jour,,906,3,,
,771,1311,,,Jour,,1785,7,,
,797,1312,,,Jour,,526,1,,
,92,1314,,,Jour,,,6,,
22/08/2014,774,1315,,,Jour,,1440,7,,
,789,1315,21/08/2014,,Jour,,1426,6,,
,267,1316,,,Jour,,293,7,,
,201,1317,,,Jour,,102,1,,
,781,1318,,,Jour,,1496,1,,
15/08/2014,131,1319,,,Jour,,4,6,,
,642,1319,11/08/2014,,Jour,,1406,6,,
,409,1320,,,Jour,,1929,5,,
,194,1323,,,Jour,,1436,7,,
,336,1325,,,Jour,,1441,7,,
,647,1397,,,Jour,,1703,6,,
,808,1399,,,Jour,,1464,4,,
,203,1414,,,Jour,,1869,7,,
,831,1415,20/08/2014,,Jour,,220,5,,
,322,1458,20/08/2014,,Jour,,902,6,,
,724,1459,,,Jour,,188,6,,
,876,1632,,,Jour,,1611,7,,
,53,1638,,,Jour,,720,6,,
,120,1639,,,Jour,,1514,1,,
,325,1642,,,Jour,,1401,5,,
,825,1644,,,Jour,,528,7,,
,179,1645,,,Jour,,815,7,,
,19,1646,,,Jour,,1831,5,,
,98,1647,,,Jour,,170,4,,
,234,1648,,,Jour,,1691,4,,
,527,1649,,,Jour,,177,7,,
,540,1650,,,Jour,,896,2,,
,551,1651,,,Jour,,1691,1,,
,631,1656,,,Jour,,1942,6,,
,689,1657,,,Jour,,1701,3,,
,518,1658,,,Jour,,1700,7,,
,518,1659,,,Jour,,1701,5,,
,689,1660,,,Jour,,1700,4,,
,518,1661,,,Jour,,1701,7,,
,518,1662,,,Jour,,1700,6,,
,689,1663,,,Jour,,1700,5,,
,689,1664,,,Jour,,1700,1,,
,689,1665,,,Jour,,1701,2,,
,518,1666,,,Jour,,1612,5,,
,518,1667,,,Jour,,1701,7,,
,438,1671,,,Jour,,423,5,,
,656,1694,,,Jour,,1880,1,,
,749,1695,,,Jour,,1693,4,,
,354,1696,,,Jour,,1211,6,,
,562,1697,,,Jour,,1693,6,,
,293,1698,,,Jour,,1044,6,,
,672,1699,,,Jour,,912,7,,
,197,1704,,,Jour,,1570,7,,
,125,1705,,,Jour,,1455,6,,
,187,1708,,,Jour,,1713,5,,
,90,1709,,,Jour,,1523,7,,
,859,1724,,,Jour,,1812,3,,
,864,1729,,,Jour,,1833,6,,
,865,1730,,,Jour,,1937,7,,
,91,1731,,,Jour,,1863,7,,
,769,1732,,,Jour,,321,7,,
,57,1733,,,Jour,,2,5,,
,576,1734,,,Jour,,1443,1,,
,122,1735,,,Jour,,175,1,,
,145,1736,,,Jour,,85,5,,
,198,1738,,,Jour,,898,2,,
,861,1739,,,Jour,,1725,3,,
,719,1745,,,Jour,,1441,5,,
,715,1748,,,Jour,,1599,7,,
,872,1751,,,Jour,,1652,2,,
,873,1752,,,Jour,,1144,7,,
,874,1753,,,Jour,,1749,1,,
,875,1754,,,Jour,,1812,1,,
,329,1755,,,Jour,,1988,5,,
,877,1756,,,Jour,,1812,6,,
,162,1757,,,Jour,,1340,1,,
,481,1758,,,Jour,,105,6,,
,679,1759,,,Jour,,19,4,,
,357,1760,,,Jour,,1789,6,,
,543,1761,,,Jour,,1737,6,,
,543,1762,,,Jour,,1341,7,,
,156,1770,,,Jour,,136,7,,
,156,1771,,,Jour,,1227,1,,
,537,1777,,,Jour,,1400,6,,
,519,1778,,,Jour,,318,7,,
,429,1779,,,Jour,,1859,4,,
,418,1780,,,Jour,,1680,1,,
,400,1781,,,Jour,,219,5,,
,352,1782,,,Jour,,1339,2,,
,70,1821,,,Jour,,1819,1,,
,70,1822,,,Jour,,1819,2,,
,70,1823,,,Jour,,1819,3,,
,70,1824,,,Jour,,1819,4,,
,70,1825,,,Jour,,1819,5,,
,439,1826,,,Jour,,1820,1,,
,439,1827,,,Jour,,1820,2,,
,439,1828,,,Jour,,1820,3,,
,439,1829,,,Jour,,1820,4,,
,439,1830,,,Jour,,1820,5,,
,483,1834,,,Jour,,1837,7,,
,483,1835,16/08/2014,,Jour,,571,7,,
,359,1836,,,Jour,,1871,7,,
,542,1840,07/08/2014,,Jour,,1350,1,,
07/08/2014,818,1840,,,Jour,,1330,6,,
,669,1841,,,Jour,,663,7,,
,763,1842,,,Jour,,1843,7,,
,712,1844,,,Jour,,1341,2,,
,756,1845,05/08/2014,,Jour,,901,3,,
,121,1847,,,Jour,,912,3,,
,630,1848,,,Jour,,1813,7,,
28/07/2014,879,1849,31/07/2014,,Jour,,,,,
01/08/2014,888,1849,,,Jour,,,,,
14/08/2014,100,1850,,,Jour,,2003,1,,
29/07/2014,880,1850,13/08/2014,,Jour,,,,,
29/07/2014,883,1851,,,Jour,,,,,
29/07/2014,884,1852,,,Jour,,1958,5,,
29/07/2014,370,1853,,,Jour,,,,,
29/07/2014,370,1854,,,Jour,,,,,
29/07/2014,885,1855,,,Jour,,1044,5,,
,575,1857,,,Jour,,1807,7,,
01/08/2014,694,1858,,,Jour,,120,7,,
02/08/2014,94,1874,,,Jour,,55,7,,
02/08/2014,834,1875,,,Jour,,149,6,,
01/08/2014,544,1876,15/08/2014,,Jour,,149,4,,
15/08/2014,413,1876,,,Jour,,1742,6,,
01/08/2014,506,1877,,,Jour,,1726,7,,
02/08/2014,558,1878,21/08/2014,,Jour,,122,6,,
02/08/2014,375,1881,07/08/2014,,Jour,,1536,5,,
03/08/2014,760,1882,,,Jour,,1812,6,,
03/08/2014,366,1883,,,Jour,,1928,5,,
,70,1885,,,Jour,,1819,7,,
,70,1886,,,Jour,,1819,7,,
,70,1887,,,Jour,,1819,7,,
,70,1888,,,Jour,,1819,7,,
,70,1889,,,Jour,,1819,7,,
,70,1890,,,Jour,,1819,7,,
,70,1891,,,Jour,,1819,7,,
,70,1892,,,Jour,,1819,7,,
,70,1893,,,Jour,,1819,7,,
05/08/2014,392,1894,25/08/2014,,Jour,,148,7,,
05/08/2014,657,1895,,,Jour,,23,7,,
05/08/2014,266,1897,,,Jour,,1253,7,,
05/08/2014,564,1898,,,Jour,,1744,5,,
02/08/2014,891,1899,,,Jour,,720,4,,
02/08/2014,891,1900,,,Jour,,720,5,,
,892,1901,,,Jour,,1946,5,,
05/08/2014,580,1902,,,Jour,,1710,7,,
04/08/2014,371,1903,,,Jour,,1867,7,,
05/08/2014,570,1904,,,Jour,,804,7,,
05/08/2014,318,1905,22/08/2014,,Jour,,166,6,,
23/08/2014,318,1905,,,Jour,,166,7,,
01/08/2014,893,1906,25/08/2014,,Jour,,,,,
22/08/2014,889,1906,,,Jour,,,,,
01/08/2014,894,1907,,,Jour,,1957,6,,
01/08/2014,894,1908,,,Jour,,1957,7,,
01/08/2014,895,1909,,,Jour,,188,4,,
01/08/2014,897,1912,,,Jour,,,,,
01/08/2014,898,1914,,,Jour,,,,,
01/08/2014,898,1915,,,Jour,,,,,
01/08/2014,899,1916,,,Jour,,,,,
01/08/2014,899,1917,,,Jour,,,,,
01/08/2014,900,1918,,,Jour,,,,,
,285,1919,,,Jour,,204,6,,
01/08/2014,900,1920,18/08/2014,,Jour,,,,,
03/08/2014,767,1921,,,Jour,,1811,6,,
01/08/2014,901,1922,,,Jour,,2017,5,,
01/08/2014,903,1923,,,Jour,,720,1,,
05/08/2014,486,1930,,,Jour,,1719,7,,
08/08/2014,407,1947,25/08/2014,,Jour,,1547,5,,
08/08/2014,740,1947,09/08/2014,,Jour,,765,4,,
01/08/2014,913,1948,,,Jour,,,7,,
,914,1949,,,Jour,,1727,7,,
07/08/2014,756,1950,,,Jour,,901,1,,
04/08/2014,915,1951,,,Jour,,,,,
06/08/2014,619,1952,21/08/2014,,Jour,,199,6,,
08/08/2014,166,1953,,,Jour,,1809,7,,
08/08/2014,375,1954,,,Jour,,1610,5,,
10/08/2014,902,1955,,,Jour,,720,3,,
09/08/2014,751,1956,,,Jour,,19,6,,
12/08/2014,740,1974,11/08/2014,,Nuit,,1345,7,,
12/08/2014,26,1975,,,Jour,,1338,6,,
11/08/2014,55,1976,,,Jour,,1801,7,,
12/08/2014,228,1979,,,Jour,,82,5,,
12/08/2014,213,1980,,,Jour,,39,5,,
13/08/2014,1,1981,,,Jour,,140,6,,
12/08/2014,732,1982,,,Jour,,1534,7,,
12/08/2014,514,1983,,,Jour,,1430,1,,
12/08/2014,642,1984,,,Jour,,1406,6,,
,372,1985,,,Jour,,1473,1,,
,46,1986,,,Jour,,1483,3,,
14/08/2014,735,1989,,,Jour,,1524,5,,
01/08/2014,897,1990,,,Jour,,,,,
15/08/2014,654,1991,15/08/2014,,Jour,,45,6,,
15/08/2014,654,1991,,,Jour,,45,6,,
15/08/2014,738,1993,,,Jour,,,1,,
,390,1994,20/08/2014,,Jour,,55,2,,
15/08/2014,566,1995,,,Jour,,1797,6,,
15/08/2014,96,1996,,,Jour,,147,5,,
16/08/2014,417,1997,,,Jour,,1177,1,,
16/08/2014,544,1998,,,Jour,,149,4,,
,921,2000,,,Jour,,,,,
15/08/2014,107,2001,,,Jour,,1615,6,,
17/08/2014,341,2002,,,Jour,,1524,1,,
18/08/2014,557,2004,,,Jour,,1472,7,,
,823,2005,,,Jour,,,6,,
01/08/2014,905,2006,,,Jour,,,,,
17/08/2014,483,2007,,,Jour,,571,7,,
,77,2008,,,Jour,,1413,2,,
19/08/2014,917,2009,,,Jour,,,,,
19/08/2014,196,2010,21/08/2014,,Jour,,1793,6,,
21/08/2014,619,2010,,,Jour,,199,6,,
20/08/2014,770,2015,,,Jour,,129,7,,
20/08/2014,337,2016,,,Jour,,1129,6,,
20/08/2014,728,2018,,,Jour,,118,7,,
17/08/2014,604,2019,,,Jour,,54,6,,
,928,2020,,,Jour,,1978,1,,
21/08/2014,44,2021,,,Jour,,1496,7,,
22/08/2014,820,2024,,,Jour,,720,7,,
21/08/2014,720,2027,,,Jour,,1726,1,,
23/08/2014,824,2030,,,Jour,,1462,6,,
22/08/2014,47,2031,,,Jour,,219,5,,
22/08/2014,34,2032,,,Jour,,1280,7,,
22/08/2014,565,2033,,,Jour,,259,7,,
14/08/2014,880,2034,,,Jour,,804,4,,
01/08/2014,896,2038,,,Jour,,1957,3,,
01/08/2014,896,2039,,,Jour,,1957,4,,
25/08/2014,138,2040,,,Jour,,1377,6,,
